epoch,step,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
54,9899,-0.6906423568725586,12.90109920501709,326.19525146484375,,,
54,9899,,,,-0.6700233221054077,14.137969017028809,366.409423828125
55,9949,-1.6714091300964355,4.864414215087891,34.096580505371094,,,
55,9999,-0.6534854769706726,15.373555183410645,355.3321838378906,,,
55,10049,-0.6015638709068298,15.56555461883545,400.45721435546875,,,
55,10079,,,,-1.4353408813476562,6.155695915222168,60.2631950378418
56,10099,-1.5505410432815552,5.10141658782959,45.037986755371094,,,
56,10149,-0.9823405146598816,10.742416381835938,166.64007568359375,,,
56,10199,-1.151831865310669,9.087860107421875,112.79457092285156,,,
56,10249,-1.0581552982330322,8.75484848022461,139.94740295410156,,,
56,10259,,,,-1.736375331878662,4.4373459815979,30.221271514892578
57,10299,-1.3225451707839966,7.046680450439453,76.13334655761719,,,
57,10349,-1.1689852476119995,8.331611633300781,108.42633056640625,,,
57,10399,-0.987919807434082,10.474592208862305,164.51300048828125,,,
57,10439,,,,-1.7422802448272705,4.382280349731445,29.827619552612305
58,10449,-1.1657668352127075,8.890984535217285,109.23282623291016,,,
58,10499,-1.1583505868911743,7.432342052459717,111.11415100097656,,,
58,10549,-0.9795932769775391,9.760616302490234,167.69754028320312,,,
58,10599,-1.0544449090957642,9.115219116210938,141.14810180664062,,,
58,10619,,,,-1.5434868335723877,5.40139102935791,47.0694465637207
59,10649,-0.9479852914810181,9.239455223083496,180.35772705078125,,,
59,10699,-1.119362473487854,7.782783508300781,121.55072021484375,,,
59,10749,-1.2194181680679321,7.686840534210205,96.53876495361328,,,
59,10799,-1.8879096508026123,3.844841480255127,20.711441040039062,,,
59,10799,,,,-1.4750381708145142,5.89378547668457,55.93488311767578
60,10849,-1.8473374843597412,3.917372703552246,22.739578247070312,,,
60,10899,-1.1378952264785767,9.638553619384766,116.47285461425781,,,
60,10949,-0.9249823093414307,11.327016830444336,190.1681365966797,,,
60,10979,,,,-0.8417869806289673,11.792383193969727,244.1339111328125
61,10999,-0.9147025346755981,10.463241577148438,194.72305297851562,,,
61,11049,-0.7674168944358826,12.79996109008789,273.3399353027344,,,
61,11099,-0.9196681976318359,10.423917770385742,192.5093231201172,,,
61,11149,-1.0006625652313232,11.208551406860352,159.75607299804688,,,
61,11159,,,,-0.8311478495597839,12.004622459411621,249.3981475830078
62,11199,-0.8165228962898254,11.732823371887207,244.1165313720703,,,
62,11249,-0.9124972820281982,10.444107055664062,195.71434020996094,,,
62,11299,-0.7437102794647217,12.74799633026123,288.6754150390625,,,
62,11339,,,,-1.51206636428833,5.744265556335449,50.87098693847656
63,11349,-1.650019884109497,4.916406154632568,35.81790542602539,,,
63,11399,-1.3665916919708252,6.624319076538086,68.79048156738281,,,
63,11449,-1.7519961595535278,4.159398078918457,28.32199478149414,,,
63,11499,-1.2847453355789185,7.747919082641602,83.05670166015625,,,
